index,lesser,greater
15,CommonStockSharesOutstanding,CommonStockSharesAuthorized
19,PreferredStockSharesOutstanding,PreferredStockSharesIssued
21,CommonStockSharesIssued,CommonStockSharesAuthorized
22,PreferredStockSharesIssued,PreferredStockSharesAuthorized
23,PreferredStockSharesOutstanding,PreferredStockSharesAuthorized
24,CommonStockSharesOutstanding,CommonStockSharesIssued
39,DefinedBenefitPlanPlansWithBenefitObligationsInExcessOfPlanAssetsAggregateBenefitObligation,DefinedBenefitPlanBenefitObligation
40,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation,DefinedBenefitPlanAccumulatedBenefitObligation
41,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets,DefinedBenefitPlanFairValueOfPlanAssets
42,DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateProjectedBenefitObligation,DefinedBenefitPlanBenefitObligation
45,DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,DefinedBenefitPlanExpectedContributionsInCurrentFiscalYear
46,DefinedBenefitPlanAccumulatedBenefitObligation,DefinedBenefitPlanBenefitObligation
47,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,UndistributedEarningsOfForeignSubsidiaries
1,AssetsCurrent,Assets
2,AssetsNoncurrent,Assets
3,NoncurrentAssets,AssetsNoncurrent
4,SalesRevenueNet,Revenues
5,SalesRevenueGoodsNet,SalesRevenueNet
6,SalesRevenueGoodsNet,Revenues
7,SalesRevenueServicesNet,SalesRevenueNet
8,SalesRevenueServicesNet,Revenues
9,GrossProfit,Revenues
10,CostOfGoodsAndServicesSold,CostOfRevenue
11,CostOfGoodsSold,CostOfRevenue
12,CostOfServices,CostOfRevenue
13,CostOfGoodsSold,CostOfGoodsAndServicesSold
14,CostOfServices,CostOfGoodsAndServicesSold
16,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
17,LongTermDebt,DebtInstrumentCarryingAmount
18,LongTermDebt,LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities
20,CapitalLeaseObligations,LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities
25,PartnersCapital,PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest26
26,MembersEquity,LimitedLiabilityCompanyLlcMembersEquityIncludingPortionAttributableToNoncontrollingInterest
27,LiabilitiesOtherThanLongtermDebtNoncurrent,LiabilitiesNoncurrent
28,LongTermDebtAndCapitalLeaseObligations,LiabilitiesNoncurrent
29,LiabilitiesCurrent,Liabilities
30,LiabilitiesNoncurrent,Liabilities
31,OtherLiabilitiesNoncurrent,LiabilitiesNoncurrent
32,OtherLiabilitiesCurrent,LiabilitiesCurrent
33,OtherAssetsCurrent,AssetsCurrent
34,OtherAssetsNoncurrent,AssetsNoncurrent
